MPG Variable,Regulatory Class,Model Year,0 to 5,5 to 10,10 to 15,15 to 20,20 to 25,25 to 30,30 to 35,35 to 40,40 to 45,45 to 50,50 to 55,55 to 60,60 to 65,65 to 70,70 to 75,75 to 80,80 to 85,85 to 90,90 to 95,95 to 100,100 to 105,105 to 110,110 to 115,120 to 125,125 to 130,130 to 135,135 to 140,140 to 145,145 to 150,150 to 155,155 to 160,160 to 165,165 to 170,170 to 175,175 to 180,180 to 185,185 to 190,190 to 195,195 to 200,200 to 205,205 to 210,210 to 215,215 to 220,220 to 225
"Real-World MPG","All","1987","-","0.0%","4.9%","23.3%","38.2%","25.8%","6.3%","1.1%","0.0%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1988","-","0.0%","5.4%","25.7%","35.1%","26.0%","5.7%","1.8%","0.0%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1989","-","0.0%","5.8%","26.4%","39.7%","22.1%","4.3%","1.3%","0.0%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1990","-","0.1%","6.6%","26.4%","41.3%","21.2%","3.7%","0.5%","0.1%","0.2%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1991","-","0.0%","5.2%","29.7%","40.7%","19.3%","4.0%","0.6%","0.4%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1992","-","0.0%","6.2%","28.5%","44.9%","15.2%","3.4%","1.1%","0.5%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1993","-","0.0%","4.8%","33.2%","40.6%","16.3%","3.5%","1.0%","0.4%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1994","-","-","8.8%","34.7%","37.5%","14.6%","3.0%","0.9%","0.4%","0.0%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1995","-","0.0%","9.0%","31.5%","38.6%","16.0%","4.4%","0.3%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1996","-","-","8.3%","31.1%","44.1%","12.8%","3.2%","0.3%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1997","-","-","7.8%","35.7%","39.6%","14.2%","2.5%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1998","-","-","9.8%","33.9%","39.4%","14.8%","1.9%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","1999","-","-","10.1%","34.7%","41.7%","12.4%","0.9%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2000","-","0.0%","7.1%","38.0%","43.3%","10.5%","0.9%","0.1%","0.1%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2001","-","0.0%","9.8%","37.4%","38.1%","10.7%","3.8%","0.1%","0.2%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2002","-","-","8.9%","39.0%","39.4%","9.3%","3.0%","0.1%","0.2%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2003","-","0.0%","11.1%","35.0%","39.1%","12.2%","2.1%","0.0%","0.4%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2004","-","-","12.3%","38.1%","35.0%","13.0%","1.1%","0.1%","0.1%","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2005","-","0.0%","9.3%","37.5%","33.6%","15.4%","3.2%","0.1%","0.2%","0.8%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2006","-","0.0%","6.0%","38.8%","36.6%","13.1%","4.7%","0.0%","0.2%","0.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2007","-","-","4.3%","38.8%","32.3%","17.5%","5.9%","-","0.2%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2008","-","-","4.1%","35.5%","35.4%","18.1%","5.4%","0.2%","0.2%","1.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2009","-","-","1.0%","26.1%","35.6%","25.2%","10.9%","0.2%","0.2%","0.9%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2010","-","-","1.2%","26.5%","33.7%","24.9%","10.1%","0.9%","0.5%","2.3%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2011","-","0.0%","1.4%","27.8%","38.2%","25.4%","5.4%","0.4%","0.2%","1.1%","0.0%","0.0%","0.0%","-","-","-","0.0%","-","-","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2012","-","0.0%","1.1%","22.1%","30.9%","28.0%","14.4%","1.1%","0.7%","1.3%","0.1%","0.1%","0.0%","-","0.0%","0.0%","-","0.0%","-","0.1%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2013","-","0.0%","0.8%","19.7%","27.3%","30.5%","17.2%","1.8%","0.6%","1.4%","0.1%","0.2%","0.0%","-","-","0.0%","-","0.1%","0.0%","0.0%","0.0%","-","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2014","-","0.0%","0.7%","19.4%","30.2%","28.6%","16.6%","2.2%","0.6%","1.1%","0.1%","0.2%","0.0%","-","-","0.0%","0.0%","0.1%","0.0%","0.0%","0.0%","0.0%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2015","-","-","0.3%","18.0%","28.5%","30.7%","17.5%","2.7%","0.4%","1.3%","0.0%","0.1%","-","-","-","-","0.0%","0.0%","0.0%","0.0%","0.1%","-","0.3%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2016","-","-","0.3%","17.4%","28.6%","30.2%","19.8%","2.0%","0.4%","0.3%","0.5%","0.1%","-","0.0%","0.1%","-","0.0%","0.0%","0.1%","0.1%","0.1%","0.1%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2017","-","-","0.3%","17.3%","30.2%","27.3%","17.6%","4.4%","0.9%","0.3%","0.6%","0.1%","-","0.0%","0.4%","-","0.0%","0.0%","0.1%","0.1%","0.1%","0.1%","0.0%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2018","-","-","0.4%","16.1%","30.1%","26.8%","19.0%","4.3%","0.5%","0.5%","0.4%","0.0%","0.0%","0.2%","0.3%","0.0%","-","0.1%","0.1%","0.0%","0.2%","0.1%","0.0%","0.1%","0.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2019","-","-","0.5%","16.2%","32.0%","25.5%","18.0%","4.4%","0.7%","0.5%","0.4%","0.1%","0.0%","0.1%","0.2%","0.0%","0.0%","0.0%","0.0%","0.0%","0.1%","0.1%","0.0%","0.0%","0.1%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2020","-","-","0.7%","13.1%","32.9%","23.8%","18.8%","6.9%","0.7%","0.4%","0.6%","0.1%","0.0%","0.1%","0.2%","0.0%","0.0%","0.0%","-","0.1%","0.1%","0.1%","0.1%","-","0.0%","-","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG","All","2021","-","-","1.0%","15.2%","30.8%","24.4%","18.3%","5.0%","0.5%","0.7%","0.6%","0.2%","0.0%","0.1%","0.1%","0.2%","0.1%","0.1%","0.2%","0.2%","0.1%","0.2%","0.1%","0.5%","0.6%","0.3%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1975","-","19.2%","52.1%","20.7%","7.8%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1976","-","3.2%","61.1%","22.2%","11.0%","2.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1977","-","4.6%","60.1%","20.0%","8.2%","5.4%","1.2%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1978","-","0.8%","45.2%","34.1%","11.1%","7.0%","1.5%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1979","-","0.2%","43.8%","36.0%","15.6%","3.5%","0.4%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1980","-","0.0%","17.1%","43.8%","28.8%","8.1%","1.1%","1.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1981","-","0.0%","9.8%","44.3%","29.2%","12.1%","3.5%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1982","-","0.0%","9.2%","36.1%","36.8%","12.7%","3.5%","1.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1983","-","0.0%","13.6%","37.1%","24.3%","18.1%","5.8%","0.9%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1984","-","0.0%","8.5%","38.6%","31.5%","15.1%","5.0%","0.9%","0.2%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1985","-","0.0%","0.4%","47.7%","31.8%","13.7%","5.1%","0.8%","0.1%","0.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1986","-","0.0%","0.4%","43.5%","35.7%","15.0%","3.3%","1.2%","0.5%","0.0%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1987","-","0.0%","0.7%","40.5%","35.7%","20.0%","1.7%","0.9%","0.3%","-","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1988","-","0.0%","0.6%","40.2%","37.4%","17.5%","2.2%","1.8%","0.2%","0.1%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1989","-","0.0%","0.5%","46.1%","35.2%","15.4%","1.2%","1.1%","0.1%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1990","-","0.0%","0.6%","47.5%","37.7%","11.3%","2.4%","0.2%","0.2%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1991","-","0.0%","0.8%","49.3%","36.7%","10.2%","2.1%","0.2%","0.6%","0.1%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1992","-","0.0%","3.5%","54.1%","31.3%","7.8%","2.3%","0.4%","0.6%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1993","-","0.0%","5.0%","47.2%","35.6%","9.7%","1.6%","0.2%","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1994","-","0.0%","1.0%","53.1%","35.9%","7.6%","1.5%","0.2%","0.5%","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1995","-","0.0%","1.1%","54.9%","32.2%","9.8%","1.5%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1996","-","0.0%","1.6%","55.5%","31.1%","10.1%","1.2%","0.1%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1997","-","0.0%","1.5%","51.3%","37.3%","8.5%","1.2%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1998","-","0.0%","2.3%","51.6%","34.5%","11.0%","0.3%","0.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","1999","-","0.0%","1.2%","60.8%","29.8%","7.8%","0.1%","0.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2000","-","0.0%","2.9%","59.6%","32.1%","4.9%","0.3%","0.2%","-","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2001","-","0.0%","3.2%","60.9%","26.9%","8.3%","0.3%","0.1%","0.2%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2002","-","0.0%","2.0%","59.6%","31.0%","7.0%","0.0%","0.2%","0.3%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2003","-","0.0%","1.9%","56.7%","32.3%","8.2%","0.1%","0.4%","0.4%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2004","-","0.0%","3.3%","57.3%","30.7%","7.6%","0.2%","0.3%","-","0.6%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2005","-","0.0%","3.3%","54.5%","31.4%","9.0%","0.2%","0.3%","-","1.4%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2006","-","0.0%","3.3%","57.0%","28.6%","9.5%","0.3%","-","0.4%","1.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2007","-","0.0%","3.1%","48.2%","35.4%","10.2%","0.8%","0.1%","0.4%","1.8%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2008","-","0.0%","4.4%","48.1%","34.1%","9.9%","0.9%","0.1%","0.4%","2.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2009","-","0.0%","2.4%","34.6%","41.6%","18.4%","1.2%","0.2%","0.3%","1.3%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2010","-","0.0%","1.0%","30.4%","43.7%","19.3%","0.4%","0.3%","1.2%","-","3.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2011","-","0.0%","1.2%","32.5%","48.5%","14.2%","0.9%","0.2%","0.4%","1.9%","0.0%","0.0%","-","0.1%","-","-","-","-","0.0%","-","-","0.1%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2012","-","0.0%","0.9%","23.6%","43.7%","25.5%","1.7%","0.6%","1.5%","1.4%","0.5%","-","0.2%","0.2%","-","0.0%","-","0.0%","-","-","-","0.1%","0.0%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2013","-","0.0%","0.7%","20.1%","39.5%","31.5%","2.3%","0.7%","2.0%","1.5%","0.5%","-","0.3%","-","0.3%","0.0%","-","0.1%","0.0%","-","-","-","0.0%","0.0%","0.3%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2014","-","0.0%","0.6%","20.4%","41.0%","29.8%","2.9%","0.9%","1.7%","1.2%","0.4%","0.0%","0.3%","-","0.3%","0.0%","0.0%","0.2%","0.0%","-","-","-","0.0%","0.1%","0.1%","0.0%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2015","-","0.0%","0.7%","15.8%","40.0%","34.4%","3.7%","0.9%","1.3%","1.7%","0.4%","-","0.2%","-","0.1%","-","-","0.1%","0.0%","0.1%","0.1%","-","0.0%","0.1%","0.4%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2016","-","-","1.0%","11.4%","39.7%","37.1%","6.8%","0.4%","1.0%","0.1%","1.1%","0.1%","0.3%","0.0%","-","-","0.0%","0.1%","0.2%","0.2%","0.2%","-","0.0%","0.2%","0.2%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2017","-","0.0%","1.1%","9.9%","38.5%","38.0%","6.3%","0.7%","1.4%","0.6%","1.0%","0.2%","0.1%","0.2%","0.0%","-","0.0%","0.1%","0.5%","0.5%","0.2%","0.1%","0.0%","0.2%","0.4%","0.0%","-","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2018","-","0.0%","0.9%","10.2%","30.2%","43.6%","7.9%","0.6%","1.2%","0.4%","1.0%","0.1%","0.0%","0.1%","0.0%","0.0%","0.0%","0.1%","0.7%","0.3%","0.3%","0.0%","0.0%","0.9%","0.6%","-","0.8%","-","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Real-World MPG_City","Car","2019","-","0.0%","1.2%","10.6%","25.9%","44.8%","9.8%","0.7%","1.6%","0.4%","1.6%","0.2%","0.0%","0.0%","0.1%","0.1%","0.0%","0.1%","0.3%","0.1%","0.1%","0.0%","0.1%","0.9%","0.4%","0.1%","0.1%","0.6%","0.0%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
